"id","address","raw_state","state","stage","notes","created_date","modified_date","priority","country_id","org_id","proposal_sent_date","is_lite"
2111322780,,CANTERBURY REGION,CANTERBURY REGION,"0",,2025-11-01 01:08:35.963,2025-11-08 02:32:42.622,2,157,3150820,2025-11-03 02:18:37.031,false
2111328072,,SA,SA,"0",,2025-11-01 01:09:02.396,2025-11-05 03:46:44.813,2,14,22010,2025-11-01 01:18:48.212,false
2111333364,,QLD,QLD,"0",,2025-11-01 01:09:19.070,2025-11-01 01:19:47.388,2,14,58937590,2025-11-01 01:19:47.480,false
2111338656,,,,"0",,2025-11-01 01:09:28.856,2025-11-01 01:09:29.599,2,232,3788824,,false
2111343948,,VIC,VIC,"0",,2025-11-01 01:10:15.262,2025-11-17 11:51:59.767,2,14,105301,2025-11-06 00:49:50.444,false
2111354532,,NY,NY,"0",,2025-11-01 01:11:42.183,2025-11-01 01:16:57.751,2,234,12210588,,false
2111370408,,VIC,VIC,"0",,2025-11-01 01:13:20.535,2025-11-01 03:50:43.925,2,14,1926430,2025-11-01 01:14:59.446,false
2111380992,,WA,WA,"0",,2025-11-01 01:14:16.367,2025-11-01 01:37:52.735,2,14,1489914,,true
2111391576,,QLD,QLD,"0",,2025-11-01 01:17:16.612,2025-11-01 03:35:48.857,2,14,1075248,,true
2111418036,,WA,WA,"0",,2025-11-01 01:18:32.142,2025-11-01 01:28:13.189,2,14,671976,,true
2111444496,,NSW,NSW,"0",,2025-11-01 01:21:01.335,2025-11-06 02:28:37.175,2,14,410541,2025-11-06 02:28:34.654,false
2111449788,,ACT,ACT,"0",,2025-11-01 01:21:28.078,2025-11-04 00:58:47.078,2,14,6007665,2025-11-01 02:26:59.319,false
2111455080,,WA,WA,"0",,2025-11-01 01:21:38.311,2025-11-10 00:58:41.633,2,14,3479263,2025-11-10 00:59:04.660,true
2111465664,,IE,IE,"0",-,2025-11-01 01:21:54.425,2025-11-01 01:21:57.828,2,,48342777,,false
2111476248,,QLD,QLD,"0",,2025-11-01 01:23:02.278,2025-11-04 07:49:37.708,2,14,7781648,2025-11-04 07:49:37.840,false
2111481540,,WA,WA,"0",,2025-11-01 01:23:11.182,2025-11-01 02:23:54.883,2,14,2976446,2025-11-01 02:19:26.976,false
2111486832,,VIC,VIC,"0",,2025-11-01 01:24:35.231,2025-11-01 01:30:12.715,2,14,45724770,2025-11-01 01:30:12.797,false
2133054000,,NSW,NSW,"0",,2025-11-01 01:25:55.332,2025-11-01 01:36:06.274,2,14,267363,2025-11-01 01:36:06.408,false
2133064692,,GA,GA,"0",,2025-11-01 01:26:30.009,2025-11-01 01:26:30.231,2,234,52506675,,false
2133070038,,WA,WA,"0",,2025-11-01 01:28:11.723,2025-11-01 01:36:12.722,2,14,42191176,2025-11-01 01:36:12.857,false
2133075384,,QLD,QLD,"0",,2025-11-01 01:28:14.779,2025-11-01 01:33:28.406,2,14,31435880,2025-11-01 01:30:57.408,true
2133080730,,NSW,NSW,"0",,2025-11-01 01:28:24.331,2025-11-01 01:41:06.615,2,14,779752,2025-11-01 01:41:06.594,false
2133086076,,WA,WA,"0",,2025-11-01 01:29:26.021,2025-11-01 01:32:10.496,2,14,595676,2025-11-01 01:32:08.004,false
2133091422,,SA,SA,"0",,2025-11-01 01:29:38.742,2025-11-01 09:47:09.156,2,14,2242354,2025-11-01 09:47:09.800,false
2133102114,,VIC,VIC,"0",,2025-11-01 01:30:33.844,2025-11-01 01:30:33.902,2,14,905401,,false
2133107460,,CA,CA,"0",,2025-11-01 01:30:49.667,2025-11-04 18:35:46.345,2,234,20273504,2025-08-28 23:04:18.529,false
2133112806,,,,"0",,2025-11-01 01:31:26.621,2025-11-01 01:31:26.850,2,14,4112289,,false
2133118152,,CANTERBURY REGION,CANTERBURY REGION,"0",,2025-11-01 01:31:40.605,2025-11-12 04:33:24.436,2,157,4985800,2025-11-04 02:11:18.231,false
2133123498,,NSW,NSW,"0",,2025-11-01 01:31:46.329,2025-11-04 00:06:18.584,2,14,2778480,,false
2133128844,,QLD,QLD,"0",,2025-11-01 01:32:14.119,2025-11-01 01:35:43.089,2,14,1578287,2025-11-01 01:36:02.805,true
2133134190,,WA,WA,"0",,2025-11-01 01:32:15.426,2025-11-01 06:47:00.978,2,14,62314266,,false
2133139536,,ENGLAND,ENGLAND,"0",,2025-11-01 01:33:02.584,2025-11-01 01:50:46.048,2,232,157231772,,false
2133150228,,QLD,QLD,"0",,2025-11-01 01:33:14.372,2025-11-01 02:18:26.173,2,14,1172712,,true
2133155574,,CANTERBURY REGION,CANTERBURY REGION,"0",,2025-11-01 01:33:27.225,2025-11-04 03:55:40.754,2,157,1840120,,false
2133171612,,,,"0",-,2025-11-01 01:33:57.415,2025-11-01 01:33:57.468,2,65,5135856,,false
2133182304,,,,"0",,2025-11-01 01:38:51.700,2025-11-01 03:06:44.709,2,,7154587,,false
2133192996,,WC,WC,"0",,2025-11-01 01:39:02.994,2025-11-01 01:39:03.052,2,204,44999561,,false
2133198342,,VIC,VIC,"0",,2025-11-01 01:39:12.187,2025-11-11 00:45:18.245,2,14,834409,2025-11-01 05:40:56.493,false
2133214380,,NSW,NSW,"0",,2025-11-01 01:39:39.244,2025-11-01 04:50:40.340,2,14,17499224,,true
2133219726,,NSW,NSW,"0",,2025-11-01 01:40:48.977,2025-11-08 01:44:17.202,2,14,45403392,,true
